frame,keypoint,x,y
0,0,918,211
0,1,834,305
0,2,793,281
0,3,751,422
0,4,793,493
0,5,918,305
0,6,918,399
0,7,876,493
0,8,793,493
0,9,793,610
0,11,876,469
0,12,918,586
1,0,876,211
1,1,834,281
1,2,793,281
1,3,751,422
1,4,793,493
1,5,918,305
1,6,918,422
1,7,876,493
1,8,793,493
1,9,793,610
1,11,876,493
1,12,918,586
2,0,876,211
2,1,834,305
2,2,793,281
2,3,751,422
2,4,793,516
2,5,918,305
2,6,918,422
2,7,876,516
2,8,793,469
2,9,793,610
2,11,876,493
2,12,918,586
3,0,918,211
3,1,834,305
3,2,793,281
3,3,751,422
3,4,793,516
3,5,918,305
3,6,918,422
3,7,876,516
3,8,793,493
3,9,793,610
3,11,876,493
3,12,918,633
4,0,918,211
4,1,834,305
4,2,793,281
4,3,751,422
4,4,793,493
4,5,918,305
4,6,918,422
4,7,876,516
4,8,793,469
4,9,793,610
4,11,876,469
4,12,876,563
5,0,918,211
5,1,834,305
5,2,793,305
5,3,751,422
5,4,793,516
5,5,918,305
5,6,918,422
5,7,876,516
5,8,793,469
5,9,793,610
5,10,751,704
5,11,876,469
5,12,876,586
6,0,876,211
6,1,834,305
6,2,793,305
6,3,751,422
6,4,793,516
6,5,918,305
6,6,918,422
6,7,876,516
6,8,793,493
6,9,793,610
6,11,876,493
6,12,876,586
7,0,918,211
7,1,834,305
7,2,793,305
7,3,751,422
7,4,793,516
7,5,918,305
7,6,918,422
7,7,876,516
7,8,793,493
7,9,793,610
7,11,876,493
7,12,876,586
8,0,918,211
8,1,834,305
8,2,793,305
8,3,751,422
8,4,793,516
8,5,918,305
8,6,918,422
8,7,876,516
8,8,793,493
8,9,793,610
8,10,751,727
8,11,876,493
8,12,876,586
9,0,918,211
9,1,834,305
9,2,793,305
9,3,751,422
9,4,793,516
9,5,918,305
9,6,918,422
9,7,876,516
9,8,793,493
9,9,793,610
9,10,751,727
9,11,876,493
9,12,876,586
10,0,918,234
10,1,834,305
10,2,793,305
10,3,751,422
10,4,793,493
10,5,918,305
10,6,918,422
10,7,876,516
10,8,793,493
10,9,793,610
10,11,876,493
10,12,876,586
11,0,918,234
11,1,834,305
11,2,793,305
11,3,751,422
11,4,793,493
11,5,918,305
11,6,918,422
11,7,876,516
11,8,793,493
11,9,793,610
11,10,709,845
11,11,876,493
11,12,918,586
12,0,918,234
12,1,834,305
12,2,793,305
12,3,751,422
12,4,793,493
12,5,918,305
12,6,918,422
12,7,876,516
12,8,793,469
12,9,793,610
12,10,751,727
12,11,876,493
12,12,918,586
13,0,918,211
13,1,834,305
13,2,793,305
13,3,751,422
13,4,793,516
13,5,918,305
13,6,918,422
13,7,876,516
13,8,793,493
13,9,793,610
13,11,876,493
13,12,918,610
14,0,876,211
14,1,834,305
14,2,793,305
14,3,751,422
14,4,793,493
14,5,918,305
14,6,918,422
14,7,918,493
14,8,793,469
14,9,793,610
14,11,876,493
14,12,918,586
15,0,918,234
15,1,876,305
15,2,793,305
15,3,751,422
15,4,793,516
15,5,918,305
15,6,918,422
15,7,876,516
15,8,793,493
15,9,793,610
15,10,709,798
15,11,876,493
15,12,876,610
16,0,918,234
16,1,876,305
16,2,793,305
16,3,751,422
16,4,793,516
16,5,918,305
16,6,918,422
16,7,876,516
16,8,793,493
16,9,793,610
16,10,709,798
16,11,876,493
16,12,876,586
17,0,918,234
17,1,876,305
17,2,793,305
17,3,751,422
17,4,793,493
17,5,918,305
17,6,918,422
17,7,876,516
17,8,793,493
17,9,793,610
17,11,876,493
18,0,876,211
18,1,876,305
18,2,793,305
18,3,751,422
18,4,793,516
18,5,918,305
18,6,918,422
18,7,876,516
18,8,793,493
18,9,793,633
18,11,876,493
19,0,918,234
19,1,834,305
19,2,793,305
19,3,751,422
19,4,793,516
19,5,918,305
19,6,918,422
19,7,876,516
19,8,793,493
19,9,793,633
19,10,709,774
19,11,876,493
19,12,918,633
20,0,918,234
20,1,834,305
20,2,793,305
20,3,751,422
20,4,793,516
20,5,918,305
20,6,918,422
20,7,876,516
20,8,793,493
20,9,793,633
20,10,709,798
20,11,876,493
20,12,918,657
21,0,918,234
21,1,834,305
21,2,793,305
21,3,751,422
21,4,793,516
21,5,918,305
21,6,918,422
